@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric

@data
30,'2019/05/12 08:40:53:921',1,304.051453,399.804596,54.774017,359.703674,386.409546,70.135468,393.457367,387.439667,72.779381,429.455109,387.680023,71.235954,473.260284,389.161987,66.690002,0,0,110.887505,-0.245139,5.979565,-7.325684,?,?,?,?,?,?,0,?,0
31,'2019/05/12 08:40:53:971',1,297.189514,398.018646,54.561268,351.020203,384.518707,70.02697,384.486877,385.462616,72.731461,420.636108,385.644775,71.252533,464.973602,387.047516,66.786011,0,0,110.494034,-0.38611,6.055387,-8.172336,?,?,?,?,?,?,0,?,0
32,'2019/05/12 08:40:54:022',1,289.958374,396.117249,53.998196,342.346069,382.049011,69.511032,375.611115,382.901184,72.267166,411.868866,383.13382,70.841057,456.565308,384.723602,66.442352,0,0,110.217918,-0.305506,6.664892,-8.847195,?,?,?,?,?,?,0,?,0
33,'2019/05/12 08:40:54:072',1,275.843018,392.694855,53.253414,326.096741,378.732635,68.878937,359.034851,379.67157,71.711266,395.44809,380.016479,70.366196,440.695038,381.749176,66.067741,0,0,110.377998,0.127388,6.828805,-9.840773,?,?,?,?,?,?,0,?,0
34,'2019/05/12 08:40:54:123',1,265.222229,390.662384,52.85606,313.95755,376.671112,68.55616,346.680481,377.650208,71.441002,383.230682,378.042297,70.152237,428.794556,379.824677,65.921715,0,0,111.273918,0.279651,6.926216,-10.534565,?,?,?,?,?,?,0,?,0
35,'2019/05/12 08:40:54:171',1,251.358093,388.424774,52.06604,297.45224,374.227509,67.901901,329.761017,375.153717,70.879234,366.483917,375.57312,69.689911,412.713928,377.364258,65.583984,0,0,112.001625,0.341152,7.204644,-11.797591,?,?,?,?,?,?,0,?,0
36,'2019/05/12 08:40:54:220',1,246.440262,387.097656,51.652191,291.716431,372.696411,67.532402,323.932861,373.59021,70.542862,360.671753,374.027954,69.386635,407.065094,375.888489,65.323669,0,0,112.099869,0.393594,7.461517,-12.227118,?,?,?,?,?,?,0,?,0
37,'2019/05/12 08:40:54:270',1,246.729965,386.661804,51.613926,292.050385,372.334198,67.508011,324.33429,373.282288,70.523209,361.008362,373.746155,69.368156,407.387299,375.64386,65.308075,0,0,112.100082,0.527846,7.482719,-12.246858,?,?,?,?,?,?,0,?,0
38,'2019/05/12 08:40:54:319',1,260.756226,386.085693,51.629158,307.899933,371.647339,67.445297,340.667969,372.761688,70.418663,377.070923,373.373718,69.207115,422.903809,375.604248,65.079491,0,0,111.41362,1.080688,7.87941,-11.499859,?,?,?,?,?,?,0,?,0
39,'2019/05/12 08:40:54:373',1,275.629333,386.761902,52.359146,326.054016,372.580688,68.024185,359.537781,373.908691,70.892578,395.605774,374.546082,69.563026,440.483643,376.820862,65.286484,0,0,109.936356,1.274186,7.706435,-9.977714,?,?,?,?,?,?,0,?,0
40,'2019/05/12 08:40:54:419',1,306.508362,389.176025,53.377392,360.233551,374.920502,68.857132,394.517944,376.211151,71.598862,430.216553,376.659912,70.135818,474.010345,378.651062,65.691856,0,0,107.559601,0.780869,7.331894,-8.323548,?,?,?,?,?,?,0,?,0
41,'2019/05/12 08:40:54:470',1,326.290619,390.712616,53.878311,382.589355,376.45163,69.217049,417.414795,377.64267,71.859543,452.891205,377.995422,70.297348,495.772186,379.741089,65.728775,0,0,105.945602,0.369111,7.039586,-7.072013,?,?,?,?,?,?,0,?,0
42,'2019/05/12 08:40:54:519',1,355.225891,392.271729,54.414658,415.16394,377.896423,69.5233,450.713257,379.005981,72.022301,485.792969,379.192078,70.319023,527.380737,380.78363,65.579422,0,0,103.858253,-0.068093,6.824458,-5.262597,?,?,?,?,?,?,0,?,0
43,'2019/05/12 08:40:54:570',1,381.852356,392.596283,55.03307,444.238037,378.976929,70.02919,480.201782,380.391876,72.433823,514.992065,380.550293,70.643234,555.70166,382.012085,65.79538,0,0,103.6595,0.268704,5.975149,-4.064956,?,?,?,?,?,?,0,?,0
44,'2019/05/12 08:40:54:620',1,396.532776,392.585083,55.256596,460.946381,379.467712,70.151268,497.213135,381.095398,72.480026,531.80011,381.291595,70.620644,571.764771,382.717651,65.688309,0,0,105.20079,0.628858,5.4118,-3.106157,?,?,?,?,?,?,0,?,0
45,'2019/05/12 08:40:54:669',1,417.108673,391.883026,55.430313,483.191467,379.203247,70.215836,519.733765,381.098419,72.481323,554.173096,381.409698,70.564789,593.37207,383.002228,65.563316,0,0,108.119217,1.295924,5.07747,-2.270962,?,?,?,?,?,?,0,?,0
46,'2019/05/12 08:40:54:719',1,427.669189,391.727966,55.646286,495.184174,379.497742,70.347725,531.991455,381.505554,72.553574,566.300476,381.745544,70.58461,604.758179,383.28595,65.520523,0,0,111.704124,1.472475,4.592607,-1.548509,?,?,?,?,?,?,0,?,0
47,'2019/05/12 08:40:54:769',1,433.657806,391.491852,55.669365,501.697815,379.323975,70.331017,538.634766,381.366119,72.515121,572.884766,381.564362,70.526718,610.87146,383.118988,65.439423,0,0,116.812172,1.642051,4.416443,-1.26746,?,?,?,?,?,?,0,?,0
48,'2019/05/12 08:40:54:818',1,431.782837,391.141235,55.534851,499.585022,378.700989,70.19873,536.706482,380.748505,72.39006,570.81665,380.950256,70.407303,608.677612,382.445496,65.327423,0,0,118.847595,1.599515,4.465764,-1.344557,?,?,?,?,?,?,0,?,0
49,'2019/05/12 08:40:54:869',1,421.694885,390.534027,55.168514,488.710907,377.651794,69.861008,525.863342,379.54129,72.078262,559.972229,379.708801,70.117523,598.00415,381.165588,65.063583,0,0,119.662476,1.340565,4.663189,-1.66181,?,?,?,?,?,?,0,?,0
50,'2019/05/12 08:40:54:918',1,399.025787,389.832458,54.533325,462.953888,375.918091,69.381836,499.800079,377.490021,71.712601,534.197083,377.552185,69.852547,573.169128,378.993561,64.915558,0,0,120.291763,0.799529,5.240001,-3.065198,?,?,?,?,?,?,0,?,0
51,'2019/05/12 08:40:54:968',1,379.792175,389.567139,53.849277,441.006897,374.778503,68.821831,477.529388,376.068665,71.24826,512.201355,376.016113,69.47496,551.998474,377.399261,64.640091,0,0,120.086853,0.285506,5.728855,-4.27989,?,?,?,?,?,?,0,?,0
52,'2019/05/12 08:40:55:018',1,351.558197,388.622681,52.829231,408.330963,372.348938,67.973129,444.206055,373.213257,70.561127,479.380646,373.092682,68.937546,520.482483,374.660248,64.284218,0,0,118.752151,-0.172577,6.959034,-6.334727,?,?,?,?,?,?,0,?,0
53,'2019/05/12 08:40:55:069',1,323.449585,387.062836,52.049458,376.592224,370.564514,67.359161,411.904602,371.211243,70.075226,447.470154,371.052521,68.576927,489.557617,372.641602,64.074219,0,0,115.385674,-0.365738,7.49496,-8.014722,?,?,?,?,?,?,0,?,0
54,'2019/05/12 08:40:55:118',1,305.965759,386.094421,51.548588,356.726929,369.809814,66.981522,391.642761,370.410828,69.779312,427.473877,370.237488,68.364624,470.170532,371.772034,63.959969,0,0,113.584099,-0.383415,7.508414,-9.099111,?,?,?,?,?,?,0,?,0
55,'2019/05/12 08:40:55:169',1,281.830688,384.435822,50.993305,330.775085,368.804993,66.540649,365.347717,369.46225,69.404709,401.400421,369.32019,68.059372,444.607574,370.84613,63.73555,0,0,111.324005,-0.226051,7.434104,-9.963532,?,?,?,?,?,?,0,?,0
56,'2019/05/12 08:40:55:218',1,269.43988,383.457764,50.526878,317.004547,367.888947,66.138474,351.289581,368.569824,69.056267,387.470093,368.539246,67.766045,431.160706,370.164612,63.510933,0,0,109.829735,0.022426,7.751736,-10.648956,?,?,?,?,?,?,0,?,0
57,'2019/05/12 08:40:55:267',1,253.223236,382.03656,49.837269,298.811371,366.878845,65.563316,332.66568,367.653015,68.556419,368.978699,367.748077,67.345535,413.327454,369.487396,63.189636,0,0,108.237846,0.439961,7.854533,-11.624888,?,?,?,?,?,?,0,?,0
58,'2019/05/12 08:40:55:317',1,243.701538,381.317627,49.263828,287.86554,366.000702,65.047012,321.427826,366.773193,68.094093,357.855682,367.018921,66.940292,402.587311,368.965393,62.85836,0,0,105.881851,0.676815,8.275736,-12.32918,?,?,?,?,?,?,0,?,0
